country_code,wave,luck,norm,gini,n
231,5,4.134006734006734,-0.30882545223991004,32.5,1485
231,7,2.250612244897959,-0.30244430813280093,33.1,1225
233,3,4.131212723658051,0.018375685221101834,33.1,1006
233,6,5.14836992681304,-0.09756541393952023,32.2,1503
246,3,4.284979423868313,-0.14190700528775121,22.9,972
246,5,3.5964391691394657,-0.1702698607821003,25.4,1011
250,5,5.325977933801404,0.17637430759140066,29.7,997
268,3,4.18168016194332,0.04928841755835316,36.9,1976
268,5,4.6594707520891365,-0.3165664790880477,42.3,1436
268,6,5.18105616093881,-0.3762286273866069,39.8,1193
275,6,3.1991786447638604,0.10199460614028578,39.9,974
276,3,5.742325113236034,0.028381320169754795,25.2,1987
276,5,4.81704260651629,-0.14264265114549263,28.5,1995
276,6,4.713231677324152,-0.2826332321500485,29.1,2033
276,7,5.306068601583114,-0.3764472511142593,30.0,1516
288,5,2.5694444444444446,-0.14707187897980417,43.1,1512
288,6,3.0122422680412373,-0.23642951137869997,43.6,1552
300,7,5.264435146443515,-0.3506713242010221,31.9,1195
320,7,4.530340814630091,0.2549002665268239,42.8,1203
332,6,8.625902992776059,1.428406182049935,,1938
344,6,3.9759036144578315,0.3194879176402976,40.2,996
344,7,4.717181467181467,0.061722809390821934,40.1,2072
348,3,5.032102728731942,0.3457632060015088,28.0,623
348,5,5.101507537688442,-0.11721783798993897,26.8,995
356,3,2.4124661246612464,-0.28769646941804494,41.8,1845
356,5,3.463873709775349,0.3803700784807724,47.4,1647
356,6,3.3069620253164556,-0.18332205651886907,48.0,3792
356,7,4.535757575757576,-0.02081760586174053,,1650
360,5,3.516900676027041,-0.2779083390115866,41.7,1923
360,7,3.9238721804511276,0.04042114472889626,45.79999999999999,3192
364,5,2.992449981124953,0.04893710482365236,40.1,2649
364,7,3.883456128600134,-0.022647822779824002,35.6,1493
368,6,3.216148023549201,0.01518768686330966,36.5,1189
368,7,6.8125,0.305112825012044,34.5,1200
380,5,5.315843621399177,-0.27113125272276156,32.4,972
392,3,4.101464435146443,-0.25937857442926276,28.3,956
392,5,5.048076923076923,-0.27547981993127807,30.8,1040
392,6,4.682149362477231,-0.33624046316155776,30.1,2196
392,7,4.849445324881141,-0.3872719994204736,30.799999999999997,1262
398,6,4.632666666666666,0.09080137383675388,27.3,1500
398,7,4.586234817813765,0.22423321785934283,27.2,1235
400,5,3.7629310344827585,-0.2574546166046363,37.3,1160
400,6,3.8466666666666667,-0.2489594381724622,36.5,1200
400,7,3.3430474604496254,-0.1234043993946368,,1201
404,7,3.69336569579288,0.5239452566045342,41.7,1236
410,3,3.9871485943775102,-0.22988105763671754,32.6,1245
410,5,4.085,-0.17000457625211532,31.7,1200
410,6,4.2803347280334725,-0.09528290704303148,31.7,1195
410,7,5.544578313253012,0.1314594531239804,34.2,1245
414,6,3.864541832669323,0.269184513757052,,1255
417,6,3.772363150867824,0.11397310142286032,,1498
417,7,3.2821612349914235,-0.00735654311705679,,1166
422,6,4.357082273112807,0.43565021938422877,36.0,1179
422,7,4.994983277591973,0.21374947940052028,36.0,1196
428,3,4.589983022071308,0.21144966183667532,29.8,1178
434,6,2.873574615765989,-0.19274193236214202,,2017
434,7,5.262626262626263,-0.25506561791169996,,792
440,3,5.873469387755102,0.08581083520819079,31.4,980
446,7,4.973555337904016,0.12039580650929706,,1021
458,5,4.4375,0.580483930315469,41.1,1200
458,6,3.6369230769230767,0.17415685258456734,39.8,1300
458,7,4.79055597867479,0.6140955044556181,38.7,1313
462,7,3.3099133782483157,-0.3453135198524653,,1039
466,5,4.286528866714184,0.43740009182965106,39.0,1403
484,3,4.631833910034602,0.24687572752776918,49.4,1445
484,5,3.3629679144385025,0.30754673153538475,46.800000000000004,1496
484,6,3.322110552763819,0.18659378877952262,45.8,1990
484,7,4.159605339524086,0.4332453734873086,42.6,1723
496,7,4.756410256410256,0.6507202937813363,33.7,1638
498,3,4.294178794178794,0.3354312893000692,36.9,962
498,5,4.517039922103213,0.3226128298638408,37.4,1027
499,3,5.946428571428571,-0.034808987810501665,,224
504,5,4.264167393199651,-0.25534952014719725,41.0,1147
504,6,3.6940948693126816,-0.29439281981321325,40.9,1033
504,7,4.224166666666667,0.3588528194499488,,1200
