country_code,wave,n,luck_belief_missing_pct,just_benefits_missing_pct,just_taxes_missing_pct,just_bribe_missing_pct,just_steal_missing_pct
417,6,1498,0.0,0.2,0.5,0.3,0.3
417,7,1166,0.0,4.0,1.1,0.9,0.8
422,6,1179,0.0,0.0,0.0,0.0,0.0
422,7,1196,0.0,2.3,0.3,0.0,1.1
428,3,1178,0.0,3.1,1.7,0.9,100.0
434,6,2017,0.0,2.5,0.5,0.6,0.5
434,7,792,0.0,1.5,1.3,1.1,0.0
440,3,980,0.0,4.8,3.8,1.9,100.0
446,7,1021,0.0,0.0,0.2,0.5,0.0
458,5,1200,0.0,0.0,0.0,0.0,100.0
458,6,1300,0.0,0.0,0.0,0.0,0.0
458,7,1313,0.0,0.0,0.0,0.0,0.0
462,7,1039,0.0,0.2,0.3,0.0,0.5
466,5,1403,0.0,3.6,3.8,7.1,100.0
484,3,1445,0.0,1.9,1.5,1.4,100.0
484,5,1496,0.0,2.3,0.8,0.7,100.0
484,6,1990,0.0,1.0,0.2,0.4,0.1
484,7,1723,0.0,0.8,0.6,0.8,0.2
496,7,1638,0.0,0.2,0.0,0.0,0.0
498,3,962,0.0,3.4,2.4,1.6,100.0
498,5,1027,0.0,3.8,0.6,1.5,100.0
499,3,224,0.0,3.1,8.9,1.8,100.0
504,5,1147,0.0,1.8,1.0,0.5,100.0
504,6,1033,0.0,8.9,7.7,4.4,0.5
504,7,1200,0.0,0.0,0.0,0.0,0.0
528,5,1022,0.0,0.2,0.9,0.8,100.0
528,6,1777,0.0,0.7,0.3,1.6,0.1
528,7,1912,0.0,0.9,0.6,2.9,0.2
554,3,1128,0.0,2.1,1.7,1.3,100.0
554,5,879,0.0,1.5,1.0,0.8,100.0
554,6,795,0.0,0.6,1.9,1.5,0.5
554,7,973,0.0,1.4,0.7,0.7,0.5
558,7,1200,0.0,0.0,0.0,0.0,0.0
566,3,1976,0.0,0.5,0.3,0.3,100.0
566,6,1759,0.0,0.0,0.0,0.0,0.0
566,7,1233,0.0,0.2,0.2,0.2,0.2
578,3,1120,0.0,0.1,0.3,0.1,100.0
578,5,1017,0.0,0.1,0.1,0.3,100.0
586,6,1200,0.0,0.0,0.0,0.0,0.0
586,7,1966,0.0,1.8,3.0,2.5,2.2
604,3,1148,0.0,3.8,2.2,1.3,100.0
604,6,1170,0.0,2.8,2.3,2.3,0.8
604,7,1375,0.0,2.5,1.7,1.0,0.1
608,3,1198,0.0,0.6,0.4,0.3,100.0
608,6,1200,0.0,0.0,0.3,0.0,0.0
608,7,1200,0.0,0.0,0.2,0.0,0.2
616,3,1097,0.0,1.0,0.5,0.0,100.0
616,5,950,0.0,3.6,3.4,0.2,100.0
616,6,931,0.0,3.0,2.7,0.9,0.3
630,3,1155,0.0,0.6,0.4,0.3,100.0
630,7,1115,0.0,0.3,0.2,0.5,0.2
